row_index,chunk_id,document_name,title,department,section,version,effective_date,status,chunk_configuration,word_count,embedding_text
11,data_handling_policy_medium_001,data_handling_policy.txt,Confidential Data Handling Policy,Information Security,Data Protection,2.0,2026-03-01,Current,medium,53,"Title: Confidential Data Handling Policy
Section: Data Protection
Confidential company and customer information must only be stored in approved systems. Employees must not send confidential data to personal email accounts or unauthorized cloud storage services. Access should be limited to people who need the information for legitimate business purposes. Suspected data exposure must be reported under the Security Incident Reporting process."
12,employee_expense_policy_medium_001,employee_expense_policy.txt,Employee Expense Policy,Finance,Expenses,2.0,2026-01-01,Current,medium,50,"Title: Employee Expense Policy
Section: Expenses
The company reimburses reasonable and approved business expenses including travel, accommodation and customer meeting costs. Expense claims must be submitted within 14 calendar days of the expense being incurred. Receipts must be attached to claims whenever available. Managers are responsible for confirming that expenses are reasonable and business-related before approval."
13,employee_onboarding_policy_medium_001,employee_onboarding_policy.txt,Employee Onboarding Policy,Human Resources,Employee Onboarding,2.3,2026-01-01,Current,medium,47,"Title: Employee Onboarding Policy
Section: Employee Onboarding
New employees complete company orientation during their first working week. Onboarding includes account setup, required security training, department introduction and review of relevant company policies. The employee's manager is responsible for confirming role-specific onboarding activities. Information Technology creates approved system accounts after receiving the required onboarding request."
14,lead_qualification_guide_medium_001,lead_qualification_guide.txt,Lead Qualification Guide,Sales,Lead Qualification,1.4,2026-02-01,Current,medium,51,"Title: Lead Qualification Guide
Section: Lead Qualification
Sales representatives should confirm customer need, appropriate business fit, expected timing and a realistic purchasing process before treating a lead as qualified. Unqualified enquiries may remain in the CRM for future nurturing. Qualification does not mean that a sale has been completed. Only signed agreements may be treated as completed sales."
15,mandatory_training_policy_medium_001,mandatory_training_policy.txt,Mandatory Employee Training,Human Resources,Training,1.5,2026-01-01,Current,medium,40,"Title: Mandatory Employee Training
Section: Training
Employees must complete required compliance and information-security training within the assigned deadline. New employees receive mandatory training assignments during onboarding. Managers are responsible for following up when required training becomes overdue. Additional role-specific training may be required by individual departments."
16,parental_leave_policy_medium_001,parental_leave_policy.txt,Parental Leave Policy,Human Resources,Leave,1.2,2026-03-01,Current,medium,57,"Title: Parental Leave Policy
Section: Leave
Eligible employees may request parental leave following the birth, adoption or placement of a child. Employees should contact Human Resources at least eight weeks before the expected leave start date where reasonably possible. Individual entitlement and payment arrangements depend on employment terms and applicable local requirements. Parental leave is managed separately from the standard annual leave allowance."
17,password_security_policy_medium_001,password_security_policy.txt,Password Security Policy,Information Security,Authentication,3.2,2026-02-01,Current,medium,40,"Title: Password Security Policy
Section: Authentication
Employees must use strong and unique passwords for company systems. Multi-factor authentication is required where the company system supports it. Passwords must never be shared with colleagues or external parties. Suspected password compromise must be reported immediately to Information Security."
18,pricing_discounts_medium_001,pricing_discounts.txt,Pricing and Discount Rules,Commercial,Discounts,1.5,2026-04-01,Current,medium,45,"Title: Pricing and Discount Rules
Section: Discounts
Sales representatives may offer approved promotional discounts only within the limits defined by the Commercial team. Discounts above 10 percent require approval from a sales manager. Enterprise contract discounts are considered individually and may require Finance approval. Employees must not promise customers an unapproved discount."
19,pricing_plans_medium_001,pricing_plans.txt,Subscription Pricing,Commercial,Pricing,4.0,2026-04-01,Current,medium,53,"Title: Subscription Pricing
Section: Pricing
The Standard Plan costs $49 per month and supports up to five users. The Professional Plan costs $99 per month and supports up to 15 users. Enterprise pricing is customized according to user numbers, integrations, support requirements and contract terms. Customers interested in Enterprise pricing must request a quotation from the sales team."
20,product_returns_policy_medium_001,product_returns_policy.txt,Product Returns Policy,Customer Operations,Returns,2.2,2026-01-15,Current,medium,55,"Title: Product Returns Policy
Section: Returns
Physical products may be returned within 30 calendar days when they are unused and in resalable condition. Customers must obtain a return reference before shipping an item back to the company. Receiving a returned product does not automatically mean that a refund has been approved. Refund eligibility is governed by the separate Customer Refund Policy."
21,purchase_order_policy_medium_001,purchase_order_policy.txt,Purchase Order Policy,Procurement,Purchase Orders,1.9,2026-01-15,Current,medium,49,"Title: Purchase Order Policy
Section: Purchase Orders
A valid purchase order must normally be issued before a supplier provides goods or services. The purchase order should identify the supplier, approved amount, business owner and relevant cost allocation. Employees should not personally commit the company to unauthorized supplier expenditure. Exceptions require documented approval under the procurement process."
22,refund_keyword_training_example_medium_001,refund_keyword_training_example.txt,Customer Service Vocabulary Training,Learning and Development,Training Examples,1.0,2026-05-01,Current,medium,59,"Title: Customer Service Vocabulary Training
Section: Training Examples
This training document teaches customer-service vocabulary. Employees may encounter words such as refund, return, payment, money back, billing, purchase and customer complaint during support conversations. The document contains examples of common customer language but does not define refund eligibility, return periods or company payment rules. Employees must use the official Customer Refund Policy when answering questions about refund eligibility."
23,refund_processing_guide_medium_001,refund_processing_guide.txt,Refund Processing Guide,Finance,Payment Processing,1.1,2026-02-01,Current,medium,50,"Title: Refund Processing Guide
Section: Payment Processing
Once Customer Operations approves a refund, Finance processes the payment through the original payment channel. Most approved refunds reach the customer within five to seven working days, although bank processing times may vary. Finance employees should not approve refund eligibility themselves. Eligibility decisions are governed by the Customer Refund Policy."
24,remote_work_equipment_medium_001,remote_work_equipment.txt,Remote Work Equipment Guidelines,Information Technology,Equipment,1.0,2026-02-01,Current,medium,68,"Title: Remote Work Equipment Guidelines
Section: Equipment
Employees approved for remote work may receive a company laptop, headset and other equipment required for their role. Company equipment remains the property of Northstar Systems and must be used in accordance with security policies. Employees must report lost, stolen or damaged equipment to the IT service desk as soon as possible. The equipment policy does not determine how many days an employee is permitted to work remotely."
25,remote_work_policy_v1_medium_001,remote_work_policy_v1.txt,Remote Work Policy,Human Resources,Work Arrangements,1.0,2025-01-01,Superseded,medium,240,"Title: Remote Work Policy
Section: Work Arrangements
## Policy Status This is Remote Work Policy version 1.0. This version became effective on 1 January 2025 and has now been superseded by version 2.0. It is retained in the knowledge base so that historical policy decisions can be reviewed. ## Remote Work Allowance Under version 1.0, employees may work remotely for up to two days each week. The remaining working days should normally be completed from an approved company office unless a manager authorizes an exception. The two-day allowance applies to eligible employees and does not create an automatic right to remote work for every role. ## Eligibility Remote working is available when the employee's responsibilities can reasonably be performed away from the office. Managers may consider role requirements, employee performance, customer obligations, security restrictions and team needs before approving a remote-working arrangement. Some operational or security-sensitive roles may require greater office attendance. ## Availability Employees working remotely must remain available during normal business hours from 9:00 AM to 5:00 PM. Employees should remain reachable through approved communication channels and attend scheduled online meetings. Working remotely does not change normal expectations regarding attendance, performance or response times. ## Office Attendance Managers may require employees to attend the office for important team meetings, training sessions, customer visits or operational requirements. Employees should make reasonable arrangements to attend when requested. A planned remote-working day may therefore be changed when legitimate business needs require physical attendance. ## Equipment Employees should use"
26,remote_work_policy_v1_medium_002,remote_work_policy_v1.txt,Remote Work Policy,Human Resources,Work Arrangements,1.0,2025-01-01,Superseded,medium,190,"Title: Remote Work Policy
Section: Work Arrangements
sessions, customer visits or operational requirements. Employees should make reasonable arrangements to attend when requested. A planned remote-working day may therefore be changed when legitimate business needs require physical attendance. ## Equipment Employees should use approved company equipment when accessing company systems remotely. Company laptops and other equipment remain company property. Loss, theft or damage should be reported to Information Technology as quickly as possible. ## Information Security Employees must follow the company's password, authentication and confidential-data requirements while working remotely. Confidential information should not be exposed to unauthorized people in shared or public spaces. Employees should use approved systems for company data and should not transfer confidential information to personal accounts. ## Performance Remote employees remain responsible for achieving agreed work objectives. Managers may review remote-working arrangements where performance, communication or availability becomes a concern. Remote work should support effective work rather than reduce service quality or collaboration. ## Historical Notice Version 1.0 allowed a maximum of two remote-working days each week. This rule was replaced by Remote Work Policy version 2.0. Users seeking the current remote-working allowance should use the document marked Current rather than this Superseded version."
27,remote_work_policy_v2_medium_001,remote_work_policy_v2.txt,Remote Work Policy,Human Resources,Work Arrangements,2.0,2026-01-01,Current,medium,240,"Title: Remote Work Policy
Section: Work Arrangements
## Policy Status This is Remote Work Policy version 2.0. It became effective on 1 January 2026 and is the current Northstar Systems remote-work policy. Version 2.0 replaces the previous version 1.0 policy. ## Remote Work Allowance Employees may work remotely for up to three days each week. Employees must normally spend at least two working days each week at an approved company office unless a manager grants an exception. The three-day allowance describes the maximum standard remote-working arrangement and does not guarantee that every employee will work remotely for three days. ## Eligibility Eligibility depends on the nature of the employee's role, performance, customer responsibilities, security requirements and operational needs. Managers determine whether an individual's responsibilities can be performed effectively under a remote-working arrangement. Roles requiring physical equipment, secure facilities or regular face-to-face customer interaction may require additional office attendance. ## Manager Approval Managers are responsible for agreeing appropriate working arrangements with employees. Remote-working schedules should support team collaboration and customer delivery. Managers may change an arrangement when operational conditions change. Permanent changes to contractual working location require the appropriate Human Resources process. ## Availability Remote employees must remain available during normal business hours. Employees should monitor approved communication channels, attend required online meetings and respond to colleagues and customers within reasonable working expectations. Remote work does not change an employee's responsibilities for attendance, deadlines or performance. ## Office Attendance Managers may require additional office attendance for team workshops,"
28,remote_work_policy_v2_medium_002,remote_work_policy_v2.txt,Remote Work Policy,Human Resources,Work Arrangements,2.0,2026-01-01,Current,medium,240,"Title: Remote Work Policy
Section: Work Arrangements
and respond to colleagues and customers within reasonable working expectations. Remote work does not change an employee's responsibilities for attendance, deadlines or performance. ## Office Attendance Managers may require additional office attendance for team workshops, customer meetings, training, security-sensitive activities or important operational events. Employees should attend the office when reasonably requested for these purposes. A scheduled remote day may therefore be replaced by an office day when business needs require it. ## Equipment Employees approved for remote work may use company-issued equipment according to the Remote Work Equipment Guidelines. Employees remain responsible for reasonable care of company equipment. Technical problems affecting work should be reported through the IT service desk. ## Security Remote employees must follow all Information Security policies. Strong passwords and multi-factor authentication must be used where required. Confidential company or customer information should only be stored and transmitted through approved company systems. Employees should take reasonable steps to prevent unauthorized people from viewing sensitive information. ## Working Environment Employees should maintain a working environment that supports safe and productive work. Remote working should not interfere with customer service, scheduled meetings or team collaboration. Employees should tell their manager where an ongoing working arrangement creates significant practical difficulties. ## Performance and Review Managers may periodically review remote-working arrangements. The review may consider performance, collaboration, service levels, security and business requirements. A remote-working arrangement may be adjusted when it no longer supports effective operations. ## Relationship to Previous"
29,remote_work_policy_v2_medium_003,remote_work_policy_v2.txt,Remote Work Policy,Human Resources,Work Arrangements,2.0,2026-01-01,Current,medium,92,"Title: Remote Work Policy
Section: Work Arrangements
Managers may periodically review remote-working arrangements. The review may consider performance, collaboration, service levels, security and business requirements. A remote-working arrangement may be adjusted when it no longer supports effective operations. ## Relationship to Previous Policy Version 1.0 allowed employees to work remotely for up to two days each week. Version 2.0 increased the maximum standard allowance to three days. When the two documents conflict about the current number of permitted remote days, version 2.0 should be treated as authoritative because its status is Current and it has the later effective date."
30,sales_contract_approval_medium_001,sales_contract_approval.txt,Sales Contract Approval Policy,Sales,Contract Approval,1.8,2026-02-01,Current,medium,57,"Title: Sales Contract Approval Policy
Section: Contract Approval
Standard contracts using approved commercial terms may follow the normal sales approval process. Non-standard legal terms must be reviewed by the appropriate legal reviewer before signature. Large discounts, unusual payment terms or significant commercial exceptions may require Finance or senior management approval. A sales opportunity must not be recorded as Closed Won before required signatures are complete."
31,sales_process_medium_001,sales_process.txt,Sales Opportunity Process,Sales,Opportunity Management,2.6,2026-02-01,Current,medium,50,"Title: Sales Opportunity Process
Section: Opportunity Management
Qualified sales opportunities must be recorded in the company CRM. Sales representatives must update the opportunity stage when meaningful progress occurs. An opportunity may only be marked Closed Won after the customer has signed the required sales agreement. Lost opportunities should include a loss reason to support future sales analysis."
32,security_incident_policy_medium_001,security_incident_policy.txt,Security Incident Reporting,Information Security,Incident Management,2.4,2026-02-01,Current,medium,44,"Title: Security Incident Reporting
Section: Incident Management
Employees must immediately report suspected phishing, malware, unauthorized system access or data exposure. Reports should be submitted through the security incident channel or IT service desk. Employees should not attempt to investigate serious security incidents independently. Information Security coordinates investigation, containment and recovery activities."
33,sick_leave_policy_medium_001,sick_leave_policy.txt,Sick Leave Policy,Human Resources,Leave,1.4,2026-01-01,Current,medium,51,"Title: Sick Leave Policy
Section: Leave
Employees who are unable to work because of illness must notify their manager before their normal starting time whenever reasonably possible. Medical documentation may be required for absences lasting more than three consecutive working days. Sick leave must not be recorded as annual leave unless Human Resources specifically approves the change."
34,supplier_payment_policy_medium_001,supplier_payment_policy.txt,Supplier Payment Policy,Finance,Supplier Payments,1.6,2026-01-15,Current,medium,48,"Title: Supplier Payment Policy
Section: Supplier Payments
Approved supplier invoices are normally paid according to the payment terms stated in the supplier agreement. Finance requires a valid invoice and appropriate purchasing approval before payment. Invoice discrepancies should be resolved with Procurement or the relevant business owner. Supplier payment processing does not replace purchase-order approval requirements."
35,supplier_selection_policy_medium_001,supplier_selection_policy.txt,Supplier Selection Policy,Procurement,Supplier Selection,2.0,2026-01-15,Current,medium,50,"Title: Supplier Selection Policy
Section: Supplier Selection
New suppliers must be evaluated for capability, commercial suitability and relevant risk before approval. Purchases above $10,000 normally require comparison of at least three suitable supplier quotations unless an approved exception applies. Procurement records the selection decision and supporting evidence. Employees must disclose potential conflicts of interest involving prospective suppliers."
36,support_escalation_process_medium_001,support_escalation_process.txt,Support Escalation Process,Customer Support,Escalations,2.1,2026-03-15,Current,medium,57,"Title: Support Escalation Process
Section: Escalations
Support agents should escalate cases when customer impact increases, agreed troubleshooting does not resolve the issue or specialist expertise is required. Critical incidents are escalated immediately to the designated incident lead. Escalation does not change the original support priority unless the impact assessment also changes. Major customer-impacting incidents may require updates to Customer Success and senior management."
37,support_service_levels_medium_001,support_service_levels.txt,Customer Support Service Levels,Customer Support,Service Levels,3.0,2026-03-15,Current,medium,46,"Title: Customer Support Service Levels
Section: Service Levels
Critical support incidents receive an initial response within one hour during supported business hours. High-priority requests receive an initial response within four hours. Normal-priority requests receive an initial response within one business day. Response targets describe the initial acknowledgement and investigation start, not guaranteed resolution time."
