case_id,category,user_request,expected_mode,actual_mode,mode_correct,expected_tools,actual_tools,exact_tools_correct,required_tools_found,required_tools_total,has_unnecessary_tool,unnecessary_tools,expected_first_argument,actual_first_argument,first_argument_correct,expected_dependency,dependency_satisfied,dependency_correct,expected_stop_reason,actual_stop_reason,stop_correct,expected_outcome,actual_outcome,outcome_correct,expected_answer_contains,answer_check,expected_evidence_contains,actual_evidence,evidence_check,step_count,error_count,final_answer,overall_pass
GOLD-014,expense_claim_lookup,Show expense claim EXP-004.,READ_AGENT,READ_AGENT,True,get_expense_claim,get_expense_claim,True,1,1,False,,EXP-004,EXP-004,True,,False,,READY,READY,True,,,,Approved,True,,,,1,0,Expense claim EXP-004 was submitted by Peter James. Amount: 9500. Status: Approved.,True
GOLD-015,expense_claim_lookup,Look up EXP-005.,READ_AGENT,READ_AGENT,True,get_expense_claim,get_expense_claim,True,1,1,False,,EXP-005,EXP-005,True,,False,,READY,READY,True,,,,EXP-005,True,,,,1,0,Expense claim EXP-005 was submitted by Grace Obi. Amount: 30000. Status: Pending.,True
GOLD-016,expense_claim_lookup,Tell me about claim EXP-006.,READ_AGENT,READ_AGENT,True,get_expense_claim,get_expense_claim,True,1,1,False,,EXP-006,EXP-006,True,,False,,READY,READY,True,,,,EXP-006,True,,,,1,0,Expense claim EXP-006 was submitted by David King. Amount: 6500. Status: Approved.,True
GOLD-017,expense_claim_lookup,Who submitted expense claim EXP-007?,READ_AGENT,READ_AGENT,True,get_expense_claim,get_expense_claim,True,1,1,False,,EXP-007,EXP-007,True,,False,,READY,READY,True,,,,Sarah Ade,True,,,,1,0,Expense claim EXP-007 was submitted by Sarah Ade. Amount: 22000. Status: Approved.,True
GOLD-018,expense_claim_lookup,Check EXP-008.,READ_AGENT,READ_AGENT,True,get_expense_claim,get_expense_claim,True,1,1,False,,EXP-008,EXP-008,True,,False,,READY,READY,True,,,,EXP-008,True,,,,1,0,Expense claim EXP-008 was submitted by Michael Hart. Amount: 17500. Status: Rejected.,True
GOLD-019,calculation,Add 1000 and 2500.,READ_AGENT,READ_AGENT,True,calculate_expense,calculate_expense,True,1,1,False,,1000|2500,1000|2500,True,,False,,READY,READY,True,,,,3500,True,,,,1,0,Calculated expense total: 3500.0,True
GOLD-020,calculation,Calculate 18500 plus 7200 plus 45000.,READ_AGENT,READ_AGENT,True,calculate_expense,calculate_expense,True,1,1,False,,18500|7200|45000,18500|7200|45000,True,,False,,READY,READY,True,,,,70700,True,,,,1,0,Calculated expense total: 70700.0,True
GOLD-021,calculation,Add 32000 hotel and 8500 transport.,READ_AGENT,READ_AGENT,True,calculate_expense,calculate_expense,True,1,1,False,,32000|8500,32000|8500,True,,False,,READY,READY,True,,,,40500,True,,,,1,0,Calculated expense total: 40500.0,True
GOLD-022,calculation,Calculate 12000 plus 3500.,READ_AGENT,READ_AGENT,True,calculate_expense,calculate_expense,True,1,1,False,,12000|3500,12000|3500,True,,False,,READY,READY,True,,,,15500,True,,,,1,0,Calculated expense total: 15500.0,True
GOLD-023,calculation,"What is the total of 900, 1100 and 3000?",READ_AGENT,READ_AGENT,True,calculate_expense,calculate_expense,True,1,1,False,,900|1100|3000,900|1100|3000,True,,False,,READY,READY,True,,,,5000,True,,,,1,0,Calculated expense total: 5000.0,True
GOLD-024,calculation,Sum 15000 plus 5000.,READ_AGENT,READ_AGENT,True,calculate_expense,calculate_expense,True,1,1,False,,15000|5000,15000|5000,True,,False,,READY,READY,True,,,,20000,True,,,,1,0,Calculated expense total: 20000.0,True
GOLD-025,calculation,Add 8400 and 7200.,READ_AGENT,READ_AGENT,True,calculate_expense,calculate_expense,True,1,1,False,,8400|7200,8400|7200,True,,False,,READY,READY,True,,,,15600,True,,,,1,0,Calculated expense total: 15600.0,True
GOLD-026,calculation,Calculate 50000 plus 12500 plus 7500.,READ_AGENT,READ_AGENT,True,calculate_expense,calculate_expense,True,1,1,False,,50000|12500|7500,50000|12500|7500,True,,False,,READY,READY,True,,,,70000,True,,,,1,0,Calculated expense total: 70000.0,True
GOLD-027,knowledge,How many annual leave days do full-time employees receive?,READ_AGENT,READ_AGENT,True,search_company_knowledge,search_company_knowledge,True,1,1,False,,,HOW MANY ANNUAL LEAVE DAYS DO FULL-TIME EMPLOYEES RECEIVE?,,,False,,READY,READY,True,,,,25,True,,Annual Leave Entitlement Full-time employees receive 25 days of paid annual leave during each calendar year.,,1,0,Company knowledge: 25,True
GOLD-028,knowledge,What does the sick leave policy say about medical evidence?,READ_AGENT,READ_AGENT,True,search_company_knowledge,search_company_knowledge,True,1,1,False,,,WHAT DOES THE SICK LEAVE POLICY SAY ABOUT MEDICAL EVIDENCE?,,,False,,READY,READY,True,,,,medical,True,,Human Resources may require appropriate medical evidence before annual leave is converted to sick leave.,,1,0,Company knowledge: Annual Leave Policy: Human Resources may require appropriate medical evidence before annual leave is converted to sick leave.,True
GOLD-029,knowledge,What does the current remote work policy say?,READ_AGENT,READ_AGENT,True,search_company_knowledge,search_company_knowledge,True,1,1,False,,,WHAT DOES THE CURRENT REMOTE WORK POLICY SAY?,,,False,,READY,READY,True,,,,review,True,,Managers may periodically review remote-working arrangements.,,1,0,Company knowledge: Remote Work Policy: Remote-working arrangements may be reviewed periodically.,True
GOLD-030,knowledge,What does the company say about employee expenses?,READ_AGENT,READ_AGENT,True,search_company_knowledge,search_company_knowledge,True,1,1,False,,,WHAT DOES THE COMPANY SAY ABOUT EMPLOYEE EXPENSES?,,,False,,READY,READY,True,,,,reasonable,True,,Managers are responsible for confirming that expenses are reasonable and business-related before approval.,,1,0,Company knowledge: reasonable and business-related before approval,True
GOLD-031,knowledge,What does our travel-expense policy say?,READ_AGENT,READ_AGENT,True,search_company_knowledge,search_company_knowledge,True,1,1,False,,,WHAT DOES OUR TRAVEL-EXPENSE POLICY SAY?,,,False,,READY,READY,True,,,,Employee Expense Policy,True,,Travel costs must later be submitted under the Employee Expense Policy.,,1,0,Company knowledge: Business Travel Policy: Travel costs must later be submitted under the Employee Expense Policy.,True
GOLD-032,knowledge,What does the company escalation policy say?,READ_AGENT,READ_AGENT,True,search_company_knowledge,search_company_knowledge,True,1,1,False,,,WHAT DOES THE COMPANY ESCALATION POLICY SAY?,,,False,,READY,READY,True,,,,priority,True,,Escalation does not change the original support priority unless the impact assessment also changes.,,1,0,Company knowledge: Support Escalation Process: Escalation does not change the original support priority unless the impact assessment also changes.,True
GOLD-033,knowledge,What does the support service level policy say?,READ_AGENT,READ_AGENT,True,search_company_knowledge,search_company_knowledge,True,1,1,False,,,WHAT DOES THE SUPPORT SERVICE LEVEL POLICY SAY?,,,False,,READY,READY,True,,,,,,,,,1,0,Company knowledge: I do not have enough evidence in the available company documents to answer this question.,True
GOLD-034,knowledge,What does the refund policy say?,READ_AGENT,READ_AGENT,True,search_company_knowledge,search_company_knowledge,True,1,1,False,,,WHAT DOES THE REFUND POLICY SAY?,,,False,,READY,READY,True,,,,Customer Refund Policy,True,,This policy should be used when deciding refund eligibility.,,1,0,Company knowledge: Customer Refund Policy: This policy should be used when deciding refund eligibility.,True
GOLD-035,knowledge,Tell me the annual leave entitlement for a full-time employee.,READ_AGENT,READ_AGENT,True,search_company_knowledge,search_company_knowledge,True,1,1,False,,,THE ANNUAL LEAVE ENTITLEMENT FOR A FULL-TIME EMPLOYEE?,,,False,,READY,READY,True,,,,25,True,,Annual Leave Entitlement Full-time employees receive 25 days of paid annual leave during each calendar year.,,1,0,Company knowledge: 25 days,True
GOLD-036,knowledge,Can remote-working arrangements be reviewed?,READ_AGENT,READ_AGENT,True,search_company_knowledge,search_company_knowledge,True,1,1,False,,,CAN REMOTE-WORKING ARRANGEMENTS BE REVIEWED?,,,False,,READY,READY,True,,,,review,True,,Managers may periodically review remote-working arrangements.,,1,0,Company knowledge: Remote-working arrangements may be reviewed periodically.,True
GOLD-037,multi_tool_independent,Check TKT-005 and tell me what the company escalation policy says.,READ_AGENT,READ_AGENT,True,get_ticket|search_company_knowledge,get_ticket|search_company_knowledge,True,2,2,False,,TKT-005,TKT-005,True,,False,,READY,READY,True,,,,Amina Bello,True,,Escalation does not change the original support priority unless the impact assessment also changes.,,2,0,Ticket TKT-005 is In Progress. Priority: High. Owner: Amina Bello. Summary: API integration returns authentication errors. Company knowledge: Support Escalation Process: Escalation does not change the original support priority unless the impact assessment also changes.,True
GOLD-038,multi_tool_independent,Check EXP-010 and tell me what the company policy says about employee travel expenses.,READ_AGENT,READ_AGENT,True,get_expense_claim|search_company_knowledge,get_expense_claim|search_company_knowledge,True,2,2,False,,EXP-010,EXP-010,True,,False,,READY,READY,True,,,,James White,True,,Travel costs must later be submitted under the Employee Expense Policy.,,2,0,Expense claim EXP-010 was submitted by James White. Amount: 8400. Status: Approved. Company knowledge: Business Travel Policy: Travel costs must later be submitted under the Employee Expense Policy.,True
GOLD-039,multi_tool_independent,"Add 32000 hotel and 8500 transport, then tell me what our travel-expense policy says.",READ_AGENT,READ_AGENT,True,calculate_expense|search_company_knowledge,calculate_expense|search_company_knowledge,True,2,2,False,,32000|8500,32000|8500,True,,False,,READY,READY,True,,,,40500,True,,Travel costs must later be submitted under the Employee Expense Policy.,,2,0,Calculated expense total: 40500.0 Company knowledge: Business Travel Policy: Travel costs must later be submitted under the Employee Expense Policy.,True
GOLD-040,multi_tool_independent,Check TKT-010 and EXP-010. Tell me both statuses.,READ_AGENT,READ_AGENT,True,get_ticket|get_expense_claim,get_ticket|get_expense_claim,True,2,2,False,,TKT-010,TKT-010,True,,False,,READY,READY,True,,,,EXP-010,True,,,,2,0,Ticket TKT-010 is Open. Priority: High. Owner: Sarah James. Summary: Suspicious login activity was reported. Expense claim EXP-010 was submitted by James White. Amount: 8400. Status: Approved.,True
GOLD-041,multi_tool_independent,Who owns TKT-020 and who submitted EXP-002?,READ_AGENT,READ_AGENT,True,get_ticket|get_expense_claim,get_ticket|get_expense_claim,True,2,2,False,,TKT-020,TKT-020,True,,False,,READY,READY,True,,,,John Bello,True,,,,2,0,Ticket TKT-020 is Resolved. Priority: Low. Owner: Michael Ade. Summary: Customer requested closure of an unused user account. Expense claim EXP-002 was submitted by John Bello. Amount: 7200. Status: Approved.,True
GOLD-042,multi_tool_independent,"Check TKT-005, add 32000 and 8500, and tell me what our escalation policy says.",READ_AGENT,READ_AGENT,True,get_ticket|calculate_expense|search_company_knowledge,get_ticket|calculate_expense|search_company_knowledge,True,3,3,False,,TKT-005,TKT-005,True,,False,,READY,READY,True,,,,40500,True,,Escalation does not change the original support priority unless the impact assessment also changes.,,3,0,Ticket TKT-005 is In Progress. Priority: High. Owner: Amina Bello. Summary: API integration returns authentication errors. Calculated expense total: 40500.0 Company knowledge: Support Escalation Process: Escalation does not change the original support priority unless the impact assessment also changes.,True
GOLD-043,multi_tool_independent,"Who submitted EXP-007, and how many annual leave days do full-time employees receive?",READ_AGENT,READ_AGENT,True,get_expense_claim|search_company_knowledge,get_expense_claim|search_company_knowledge,True,2,2,False,,EXP-007,EXP-007,True,,False,,READY,READY,True,,,,25,True,,Annual Leave Entitlement Full-time employees receive 25 days of paid annual leave during each calendar year.,,2,0,Expense claim EXP-007 was submitted by Sarah Ade. Amount: 22000. Status: Approved. Company knowledge: 25,True
GOLD-044,multi_tool_independent,Who owns TKT-017 and what does the company escalation process say?,READ_AGENT,READ_AGENT,True,get_ticket|search_company_knowledge,get_ticket|search_company_knowledge,True,2,2,False,,TKT-017,TKT-017,True,,False,,READY,READY,True,,,,Sarah James,True,,Escalation does not change the original support priority unless the impact assessment also changes.,,2,0,Ticket TKT-017 is In Progress. Priority: Critical. Owner: Sarah James. Summary: Possible unauthorized account access detected. Company knowledge: not change the original support priority unless the impact assessment also changes,True
GOLD-045,dependent_chain,Get the amount on EXP-010 and add 7200 to it.,READ_AGENT,READ_AGENT,True,get_expense_claim|calculate_expense,get_expense_claim|calculate_expense,True,2,2,False,,EXP-010,EXP-010,True,TRUE,True,True,READY,READY,True,,,,15600,True,,,,2,0,Expense claim EXP-010 was submitted by James White. Amount: 8400. Status: Approved. Calculated expense total: 15600.0,True
GOLD-046,dependent_chain,Get the amount on EXP-004 and add 500 to it.,READ_AGENT,READ_AGENT,True,get_expense_claim|calculate_expense,get_expense_claim|calculate_expense,True,2,2,False,,EXP-004,EXP-004,True,TRUE,True,True,READY,READY,True,,,,10000,True,,,,2,0,Expense claim EXP-004 was submitted by Peter James. Amount: 9500. Status: Approved. Calculated expense total: 10000.0,True
GOLD-047,dependent_chain,Get the amount on EXP-002 and add 2800 to it.,READ_AGENT,READ_AGENT,True,get_expense_claim|calculate_expense,get_expense_claim|calculate_expense,True,2,2,False,,EXP-002,EXP-002,True,TRUE,True,True,READY,READY,True,,,,10000,True,,,,2,0,Expense claim EXP-002 was submitted by John Bello. Amount: 7200. Status: Approved. Calculated expense total: 10000.0,True
GOLD-048,dependent_chain,Check TKT-003 and tell me what response target applies to its priority.,READ_AGENT,READ_AGENT,True,get_ticket|search_company_knowledge,get_ticket|search_company_knowledge,True,2,2,False,,TKT-003,TKT-003,True,TRUE,True,True,READY,READY,True,,,,,,Critical,Critical support incidents receive an initial response within one hour during supported business hours.,True,2,0,Ticket TKT-003 is Open. Priority: Critical. Owner: Sarah James. Summary: Production dashboard is unavailable. Company knowledge: initial response within one hour during supported business hours,True
GOLD-049,dependent_chain,Check TKT-005 and tell me what response target applies to its priority.,READ_AGENT,READ_AGENT,True,get_ticket|search_company_knowledge,get_ticket|search_company_knowledge,True,2,2,False,,TKT-005,TKT-005,True,TRUE,True,True,READY,READY,True,,,,,,High,High-priority requests receive an initial response within four hours.,True,2,0,Ticket TKT-005 is In Progress. Priority: High. Owner: Amina Bello. Summary: API integration returns authentication errors. Company knowledge: an initial response within four hours,True
GOLD-050,dependent_chain,Check TKT-010 and tell me what response target applies to its priority.,READ_AGENT,READ_AGENT,True,get_ticket|search_company_knowledge,get_ticket|search_company_knowledge,True,2,2,False,,TKT-010,TKT-010,True,TRUE,True,True,READY,READY,True,,,,,,High,High-priority requests receive an initial response within four hours.,True,2,0,Ticket TKT-010 is Open. Priority: High. Owner: Sarah James. Summary: Suspicious login activity was reported. Company knowledge: an initial response within four hours,True
GOLD-051,clarification,Check the ticket and tell me who owns it.,READ_AGENT,READ_AGENT,True,,,True,0,0,False,,,,,,False,,CLARIFICATION,CLARIFICATION,True,,,,ticket ID,True,,,,0,0,"Which ticket should I check? Please provide the ticket ID, for example TKT-005.",True
GOLD-052,clarification,Check the expense claim and tell me its status.,READ_AGENT,READ_AGENT,True,,,True,0,0,False,,,,,,False,,CLARIFICATION,CLARIFICATION,True,,,,claim ID,True,,,,0,0,"Which expense claim should I check? Please provide the claim ID, for example EXP-010.",True
GOLD-053,missing_record,Check ticket TKT-999.,READ_AGENT,READ_AGENT,True,get_ticket,get_ticket,True,1,1,False,,TKT-999,TKT-999,True,,False,,UNRECOVERABLE,UNRECOVERABLE,True,,,,not found,True,,,,1,1,"I could not continue because get_ticket failed: KeyError: ""Ticket 'TKT-999' was not found.""",True
GOLD-054,missing_record,Check expense claim EXP-999.,READ_AGENT,READ_AGENT,True,get_expense_claim,get_expense_claim,True,1,1,False,,EXP-999,EXP-999,True,,False,,UNRECOVERABLE,UNRECOVERABLE,True,,,,not found,True,,,,1,1,"I could not continue because get_expense_claim failed: KeyError: ""Expense claim 'EXP-999' was not found.""",True
GOLD-055,clarification,Calculate the expense total.,READ_AGENT,READ_AGENT,True,,,True,0,0,False,,,,,,False,,CLARIFICATION,CLARIFICATION,True,,,,amounts,True,,,,0,0,Which amounts should I calculate? Please provide the required values.,True
GOLD-056,write_action,Escalate TKT-003 because the production dashboard is unavailable.,WRITE,WRITE,True,create_escalation,create_escalation,True,1,1,False,,TKT-003,TKT-003,True,,False,,,,,CREATED,CREATED,True,created,True,,,,1,0,Escalation ESC-001 created for TKT-003.,True
GOLD-057,write_action,Escalate TKT-003 because the customer reports wider business impact.,WRITE,WRITE,True,create_escalation,create_escalation,True,1,1,False,,TKT-003,TKT-003,True,,False,,,,,DUPLICATE_REJECTED,DUPLICATE_REJECTED,True,already exists,True,,,,1,1,Escalation was not created. ValueError: An escalation already exists for TKT-003: ESC-001,True
GOLD-058,write_clarification,Escalate TKT-005.,WRITE,WRITE,True,,,True,0,0,False,,,,,,False,,,,,CLARIFICATION,CLARIFICATION,True,reason,True,,,,0,0,What is the reason for escalating TKT-005?,True
GOLD-059,write_clarification,Escalate the ticket because the customer cannot work.,WRITE,WRITE,True,,,True,0,0,False,,,,,,False,,,,,CLARIFICATION,CLARIFICATION,True,ticket,True,,,,0,0,"Which ticket should I escalate? Please provide one ticket ID, for example TKT-003.",True
GOLD-060,write_clarification,Escalate TKT-010 and TKT-011 because the customer reports a serious issue.,WRITE,WRITE,True,,,True,0,0,False,,,,,,False,,,,,CLARIFICATION,CLARIFICATION,True,one ticket,True,,,,0,0,I found more than one ticket ID. Please specify exactly one ticket to escalate.,True
GOLD-061,write_invalid_record,Escalate TKT-999 because the production service is unavailable.,WRITE,WRITE,True,create_escalation,create_escalation,True,1,1,False,,TKT-999,TKT-999,True,,False,,,,,INVALID_RECORD,INVALID_RECORD,True,not found,True,,,,1,1,"Escalation was not created. KeyError: ""Ticket 'TKT-999' was not found.""",True
GOLD-062,unsupported_write,Approve EXP-010.,UNSUPPORTED_WRITE,UNSUPPORTED_WRITE,True,,,True,0,0,False,,,,,,False,,,,,BLOCKED_UNSUPPORTED_WRITE,BLOCKED_UNSUPPORTED_WRITE,True,not available,True,,,,0,0,This request asks for a state-changing action that is not available in the current tool set.,True
GOLD-063,unsupported_write,Delete ticket TKT-005.,UNSUPPORTED_WRITE,UNSUPPORTED_WRITE,True,,,True,0,0,False,,,,,,False,,,,,BLOCKED_UNSUPPORTED_WRITE,BLOCKED_UNSUPPORTED_WRITE,True,not available,True,,,,0,0,This request asks for a state-changing action that is not available in the current tool set.,True
GOLD-064,loop_safety,"Check TKT-005, add 32000 and 8500, and tell me what our escalation policy says.",READ_AGENT,READ_AGENT,True,get_ticket|calculate_expense,get_ticket|calculate_expense,True,2,2,False,,TKT-005,TKT-005,True,,False,,MAX_STEPS,MAX_STEPS,True,,,,maximum,True,,,,2,0,I stopped execution after reaching the maximum of 2 tool steps. The request was not fully completed.,True
